Model,MAE,MAPE,Accuracy,Direction_Accuracy
FINBERT_LSTM,3.5950825,1.5909128689340182,98.40908713106599,53.06122448979591
LSTM,3.6029222,1.5933572447725706,98.40664275522742,52.2525991528687
DNN,3.7945306,1.6679101490548678,98.33208985094514,48.67154408933385
