Job ID: 3825040
Running on node: hyperion-118.sw.ehu.es
Starting time: Thu Nov 27 19:48:26 CET 2025
GPU assigned: 0
Working directory: /scratch/aitordiez/News2Stock/summaries/simple_seq2seq_fasttext
Starting training...
================================================================================
SIMPLE SEQ2SEQ TRAINING
================================================================================

✓ Using device: cuda

Loading preprocessed data...
✓ Train: 66587 examples
✓ Val: 16647 examples
✓ Vocabulary size: 20000

✓ Created dataloaders (batch_size=8)

================================================================================
INITIALIZING MODEL
================================================================================

Initializing embeddings with FastText...
Loading FastText model from /scratch/aitordiez/News2Stock/models/cc.en.300.bin...
✓ FastText model loaded
Initializing embeddings with FastText vectors...
Initialized 19999/20000 embeddings with FastText vectors
Loading FastText model from /scratch/aitordiez/News2Stock/models/cc.en.300.bin...
✓ FastText model loaded
Initializing embeddings with FastText vectors...
Initialized 19999/20000 embeddings with FastText vectors
✓ FastText embeddings loaded
✓ Model initialized
✓ Trainable parameters: 36,078,240
✓ Optimizer: Adam (lr=0.001)
✓ Loss: CrossEntropyLoss

================================================================================
TRAINING
================================================================================
✓ Logging to: /scratch/aitordiez/News2Stock/summaries/simple_seq2seq_fasttext/logs/training_20251127_194906.log

Epoch 1/20
----------------------------------------
  Batch 1280/8324, Loss: 5.8000
  Batch 1290/8324, Loss: 5.8058
  Batch 1300/8324, Loss: 5.7907
  Batch 1310/8324, Loss: 5.5187
  Batch 1320/8324, Loss: 5.7600
  Batch 1330/8324, Loss: 5.8229
  Batch 1340/8324, Loss: 6.2131
  Batch 1350/8324, Loss: 5.5332
  Batch 1360/8324, Loss: 6.0846
  Batch 1370/8324, Loss: 5.8508
  Batch 1380/8324, Loss: 5.3504
  Batch 1390/8324, Loss: 5.7545
  Batch 1400/8324, Loss: 6.0589
  Batch 1410/8324, Loss: 5.8465
  Batch 1420/8324, Loss: 5.3424
  Batch 1430/8324, Loss: 6.1833
  Batch 1440/8324, Loss: 5.8527
  Batch 1450/8324, Loss: 5.9029
  Batch 1460/8324, Loss: 6.2028
  Batch 1470/8324, Loss: 5.9556
  Batch 1480/8324, Loss: 5.8797
  Batch 1490/8324, Loss: 5.9568
  Batch 1500/8324, Loss: 5.8124
  Batch 1510/8324, Loss: 5.9437
  Batch 1520/8324, Loss: 6.0742
  Batch 1530/8324, Loss: 6.0164
  Batch 1540/8324, Loss: 6.0151
  Batch 1550/8324, Loss: 5.4055
  Batch 1560/8324, Loss: 5.7584
  Batch 1570/8324, Loss: 5.6542
  Batch 1580/8324, Loss: 5.4300
  Batch 1590/8324, Loss: 5.8553
  Batch 1600/8324, Loss: 5.7975
  Batch 1610/8324, Loss: 5.7765
  Batch 1620/8324, Loss: 5.4416
  Batch 1630/8324, Loss: 6.0291
  Batch 1640/8324, Loss: 5.3908
  Batch 1650/8324, Loss: 4.9481
  Batch 1660/8324, Loss: 5.9827
  Batch 1670/8324, Loss: 5.8237
  Batch 1680/8324, Loss: 6.0605
  Batch 1690/8324, Loss: 5.6221
  Batch 1700/8324, Loss: 6.0435
  Batch 1710/8324, Loss: 6.0001
  Batch 1720/8324, Loss: 5.1683
  Batch 1730/8324, Loss: 5.9612
  Batch 1740/8324, Loss: 5.8350
  Batch 1750/8324, Loss: 5.4421
  Batch 1760/8324, Loss: 6.0149
  Batch 1770/8324, Loss: 5.9257
  Batch 1780/8324, Loss: 5.6297
  Batch 1790/8324, Loss: 5.7882
  Batch 1800/8324, Loss: 5.2991
  Batch 1810/8324, Loss: 5.6230
  Batch 1820/8324, Loss: 6.0394
  Batch 1830/8324, Loss: 5.7387
  Batch 1840/8324, Loss: 4.9893
  Batch 1850/8324, Loss: 5.5410
  Batch 1860/8324, Loss: 5.9553
