Job ID: 3824997
Running on node: hyperion-096.sw.ehu.es
Starting time: Thu Nov 27 17:29:41 CET 2025
GPU assigned: 0
Working directory: /scratch/aitordiez/News2Stock/summaries/simple_seq2seq
Starting training...
================================================================================
SIMPLE SEQ2SEQ TRAINING
================================================================================

✓ Using device: cuda

Loading preprocessed data...
✓ Train: 66587 examples
✓ Val: 16647 examples
✓ Vocabulary size: 20000

✓ Created dataloaders (batch_size=8)

================================================================================
INITIALIZING MODEL
================================================================================
✓ Model initialized
✓ Trainable parameters: 25,229,856
✓ Optimizer: Adam (lr=0.001)
✓ Loss: CrossEntropyLoss

================================================================================
TRAINING
================================================================================
✓ Logging to: /scratch/aitordiez/News2Stock/summaries/simple_seq2seq/logs/training_20251127_173002.log

Epoch 1/20
----------------------------------------
  Batch 1390/8324, Loss: 5.8455
  Batch 1400/8324, Loss: 5.9877
  Batch 1410/8324, Loss: 5.6157
  Batch 1420/8324, Loss: 6.3729
  Batch 1430/8324, Loss: 6.1565
  Batch 1440/8324, Loss: 5.9472
  Batch 1450/8324, Loss: 6.2327
  Batch 1460/8324, Loss: 6.3366
  Batch 1470/8324, Loss: 6.0545
  Batch 1480/8324, Loss: 6.3140
  Batch 1490/8324, Loss: 5.3397
  Batch 1500/8324, Loss: 6.1134
  Batch 1510/8324, Loss: 5.7381
  Batch 1520/8324, Loss: 6.4007
  Batch 1530/8324, Loss: 6.0627
  Batch 1540/8324, Loss: 6.1317
  Batch 1550/8324, Loss: 6.1486
  Batch 1560/8324, Loss: 5.7839
  Batch 1570/8324, Loss: 6.1789
  Batch 1580/8324, Loss: 5.4489
  Batch 1590/8324, Loss: 6.0332
  Batch 1600/8324, Loss: 5.8791
  Batch 1610/8324, Loss: 6.1830
  Batch 1620/8324, Loss: 5.6526
  Batch 1630/8324, Loss: 5.9189
  Batch 1640/8324, Loss: 5.9653
  Batch 1650/8324, Loss: 5.7716
  Batch 1660/8324, Loss: 5.8945
  Batch 1670/8324, Loss: 5.9984
  Batch 1680/8324, Loss: 5.9218
  Batch 1690/8324, Loss: 5.7216
  Batch 1700/8324, Loss: 5.8059
  Batch 1710/8324, Loss: 6.2038
  Batch 1720/8324, Loss: 5.9872
  Batch 1730/8324, Loss: 5.9710
  Batch 1740/8324, Loss: 5.5749
  Batch 1750/8324, Loss: 5.5242
  Batch 1760/8324, Loss: 5.9981
  Batch 1770/8324, Loss: 5.8412
  Batch 1780/8324, Loss: 6.0412
  Batch 1790/8324, Loss: 6.1104
  Batch 1800/8324, Loss: 5.9546
  Batch 1810/8324, Loss: 6.3200
  Batch 1820/8324, Loss: 5.8916
  Batch 1830/8324, Loss: 5.8265
  Batch 1840/8324, Loss: 5.8823
  Batch 1850/8324, Loss: 5.6311
  Batch 1860/8324, Loss: 6.0052
  Batch 1870/8324, Loss: 6.3430
  Batch 1880/8324, Loss: 5.5071
  Batch 1890/8324, Loss: 6.2063
  Batch 1900/8324, Loss: 6.0668
  Batch 1910/8324, Loss: 6.4079
  Batch 1920/8324, Loss: 6.1953
  Batch 1930/8324, Loss: 5.8637
  Batch 1940/8324, Loss: 5.7063
  Batch 1950/8324, Loss: 5.4027
  Batch 1960/8324, Loss: 5.8065
  Batch 1970/8324, Loss: 6.0005
  Batch 1980/8324, Loss: 6.2322
