model,num_summaries,rouge1_mean,rouge1_std,rouge2_mean,rouge2_std,rougeL_mean,rougeL_std,bleu_mean,bleu_std,length_ratio_mean,length_ratio_std
apple_news_transformer,24208,0.1869872885478833,0.1432604939527156,0.048228367534190415,0.10857346442615314,0.12555401296320254,0.11821026003542637,0.023732176930498467,0.09879693265762159,0.4388726108833551,0.33278903619381267
apple_news_transformer_fasttext,24208,0.17932297535589506,0.15958030781685598,0.05752702605356165,0.11005779230349957,0.12826912427571124,0.12763680912400077,0.026235999052466093,0.09663649237053004,0.367429714096241,0.37711860045547363
apple_news_simple_seq2seq,22447,0.21654868659915594,0.10897821245458003,0.05358346816939567,0.05764817026743783,0.15901523681750188,0.07854523081075544,0.020997686843560657,0.03384750767919373,1.0370718704766915,0.296127915825456
apple_news_simple_seq2seq_fasttext,22447,0.23947317462294673,0.09660908732357927,0.05686032530921338,0.05483437619335513,0.1704590743300458,0.06947250358789107,0.0217416691673668,0.033697215458412116,0.9546976528291519,0.24717852799553636
apple_news_pointer_generator,22447,0.25108851049011777,0.08816183114835148,0.05672864692459395,0.05212415998521201,0.1758044874952459,0.06596359129379252,0.02070443461122243,0.03019679994579201,1.0065811239383886,0.25531237103841536
apple_news_pointer_generator_fasttext,22447,0.2646081483383196,0.09356369597145467,0.07051001128468609,0.05998766745331681,0.18699560115533242,0.07188656664539943,0.027022145477319938,0.036517313234487474,1.0053166160416855,0.2706084608064594
